"Lemma
（見出し語）","Japanese
(Short)","Commentary
(解説)"
comin,やって来る,"来るべき,次の(=coming)"
coming,到来,来たるべき. 次の
comity,礼譲,礼譲. 礼節. the comity of nations. 国際礼譲(各国が他国の法律･制度を尊重する親交関係にあること)
comma,コンマ,コンマ
command,コマンド,指揮. 命令. 眼下に見おろす. 命令する. 値する
commandant,司令官,司令官
commandeer,乗っ取る,徴発する. 徴用する. 奪いとる
commander,司令官,指揮者. 海軍中佐
commanding,指揮,堂々とした. 命令する
commandment,おきて,(神の)おきて. 戒律
commando,コマンド,特殊部隊
commemorate,記念する,記念する. を祝う
commemoration,記念,記念
commemorative,記念の,記念の 
commence,始める,を開始する. 始まる. を始める
commencement,開始,開始. 学位授与式
commend,称賛する,ほめる. 推薦する
commendable,立派,ほめるに足る. 立派な. 奇特
commendation,表彰,推薦. 賞賛
commensal,共生,食卓を共にする. (動植物が)片利共生的な. (異なる価値観･慣習を有する個人･集団と)共生する
commensurate,相応の,同じ大きさの. 同量の. 同一基準の. 釣り合った. 比例した
comment,コメント,論評する. 注釈. 論評. 意見
commentariat,評論家,評論家
commentary,解説,注釈書. 注釈. 注解書
commentator,コメンテーター,解説者
commenter,評者,評者 
commerce,コマース,商業. 貿易. 交易. 交際. 商学. コマース
commercial,コマーシャル,コマーシャル. 民間放送の
commercialism,商業主義,コマーシャリズム. 商業主義. 商慣習
commercialization,商業化,商業化
commercialize,商品化する,商業化する. 商品化する
commercialized,商品化,商品化 
commercially,商業,商業上
commie,共産党員,共産党員
commingle,混合する,混ざり合う
commiserate,同情する,同情する. 気の毒に思う. あわれむ. 哀悼の意を示す
commiseration,哀れみ,哀れみ. 同情
commissar,人民委員,コミッサール. 共産党統制委員. 人民委員
commissary,物資配給所,物資配給所. 販売部. 売店. 兵站係将校. 代表者
commission,委員会,任務. 依頼. 委員会. 手数料
commissioner,コミッショナー,コミッショナー. 委員
commit,コミット,(罪など)を犯す. をゆだねる. 委任する
commitment,コミットメント,献身. 傾倒. 約束
committed,献身的な,献身的な 
committee,委員会,委員会. 委員
commode,トイレ,トイレ. 移動式洗面台. 寝室用便器. lavatoryの遠回しな言い方
commoditization,コモディティ化,コモディティ化. 日用品化 
commodity,商品,生活必需品. 商品. 必需品. 日用品. 有用品. 物資
commodore,准将,提督. 准将
common,一般,一般的な. 共通の
commonality,共通性,共通性 
commoner,平民,一般人. 庶民. 大衆. 平民. 下院議員. 自費生. 普通学生. 共通の
commonly,一般に,一般に. 通例. 下品に. 粗野に. 通俗に. 普通
commonplace,ありふれた,普通の. 平凡な(こと). 陳腐な(ことば)
commons,コモンズ,共有地. 公共用地
Commonwealth,イギリス連邦,イギリス連邦
commotion,騒ぎ,"動揺. 動乱. 興奮. 騒動. (cf. strikes,riots and civil commotions clause. 一揆暴動ストライキ担保特別約款(保険の特約))"
communal,公共,地方自治体の. 公共の. 全住民が共有する
commune,コミューン,親しく語る. コミューン. 人民公社
communicable,通信,伝達可能な
communicate,通信する,知らせる. 通信する. 伝達する. 伝える
communication,通信,コミュニケーション. 意思の伝達
communicative,通信の,話し好きな
communicator,コミュニケーター,通報器. 通報者. 伝達者
communion,交わり,親交. 宗派
communique,コミュニケ,(仏語)公式声明. 公式発表
communism,共産主義,共産主義
communist,共産主義者,共産主義者
communitarian,共同体主義の,共同体主義の 
community,コミュニティ,共同体. 生活共同体. 群生. 共同社会. 一般社会. 団体. 公衆
commute,通勤,取りかえる. 切り替える. 換算する. 通勤･通学する
commuted,減刑,減刑 
commuter,コミューター,通勤者
comorbid,併存,併存 
comorbidity,併存疾患,併存疾患 
Comoro,コモロ･イスラム連邦共和国,コモロ･イスラム連邦共和国 Federal Islamic Republic of the Comoros
comp,コンプ,植字工. 伴奏(者). 無料招待客. 植字工として働く. の伴奏をする. 組む. 無料招待にする
compact,コンパクト,ぎっしり詰まった. コンパクトな. 小型車. 小型. (二国間または多国間の)盟約. 盟約を結ぶ
compaction,コンパクション,圧縮. (生命科学)胚細胞緊密化. (心筋の)圧縮
companies,企業,企業 
companion,コンパニオン,対の片方. 仲間. 相手. 伴侶. 話し相手. 気の合った友
companionable,人好きのする,人好きのする
companionship,交際,交際. 交友. 仲間付き合い
company,会社,会社. つきあい. 仲間
Compaq,コンパック,コンパック(コンピュータメーカー名)
comparability,比較可能性,比較可能性 
comparable,匹敵する,比較できる. 同等の
comparably,同等,同等に
comparative,比較の,匹敵する. 比較の. (文法)比較級
comparatively,比較的,比較的. かなり
compare,比較する,比較する. をたとえる. 匹敵する. 比べられる
comparison,比較,比較. たとえ
compartment,コンパートメント,コンパートメント. 区画. 仕切り
compartmentalization,区画化,区画化 
compartmentalize,区分する,を区切る
compass,コンパス,を巡る. を取り巻く. コンパス. 周囲. 羅針盤. 範囲. 限界. 適度
compassion,思いやり,思いやり. 哀れみ. 同情
compassionate,思いやりのある,あわれみ深い. 哀れに思う. 情け深い. 同情的な
compatibility,互換性,適合性. 一致
compatible,互換性のある,両立できる. 矛盾のない. (ソフトウェアなどで)互換性がある
compatriot,同胞,同胞. 同国人
compel,強いる,強いる
compelling,説得力のある,強制的な. 説得力のある. 切実な. 感動させずにおかない
compendium,大要,概要. 大要. 要約. 概論
compensate,補償する,に補償する. 補償する. 補正する. 補正を行なう
compensation,補償,補償. 給与. 報酬. 代償. 補正. 補強
compensatory,代償,償いの. 賠償的な. 報酬の
compete,競争する,競争する. 匹敵する
competence,コンピテンス,能力. 権限
competency,コンピテンシー,有能さ. コンピテンシー 
competent,有能な,有能な. 合法的な
competition,競争,競争
competitive,競争力のある,競争が激しい. 競争力がある
competitively,競争的に,競争的に 
competitiveness,競争力,競争力 
competitor,競合他社,競争相手
compilation,コンピレーション,編集. 編集物. 寄せ集め
compile,コンパイル,を編集する. (資料など)を集める. (財産など)を作り上げる
compiler,コンパイラ,コンパイラー. 編集者. 編者. 編纂者
complacency,自己満足,自己満足
complacent,無関心な,自己満足の. 満足そうな. 悦に入って. ひとりよがりの
complain,文句を言う,苦情を言う. 不満を言う
complainant,原告,原告. 告訴人
complaint,苦情,不平. グチ. 不満. (民事の)告訴. 病気
complement,補数,"補足. 全数量. 補足物. (文法)補語,補文,補数. (cf. complimentはお世辞(を言う))"
complementarity,相補性,相補性 
complementary,補完的な,補完的な
complementation,相補性,相補性 
complemented,補完,補完 
complete,完全な,完全な. 完成した. 全くの. を完成する
completed,完成した,完成した 
completely,完全に,完全に
completeness,完全,完全
completion,完了,完了. 完全さ
complex,複雑な,コンプレックス. 強迫観念. 固定概念. 合成物. 複合体. コンビナート. 総合ビル. 複合の. 複雑な
complexed,複合化,複合化 
complexion,顔色,形勢. 外観
complexity,複雑,複雑さ
compliance,コンプライアンス,服従. 承諾. (要求などに)従うこと. 人の言いなりになること
compliant,準拠した,従順な. 言いなりになる
complicate,複雑な,面倒にする. を複雑にする. 困難にする
complicated,複雑な,複雑にする
complication,合併症,厄介な問題. 混乱. 複雑な状態. 合併症. 紛糾. 複雑
complicit,共謀した,なあなあの 
complicity,共犯,連座. 共犯. 共謀
compliment,お世辞,"お世辞を言う. 誉める. 賛辞. お世辞. あいさつ. (cf. complementは補足. 補語,補数)"
complimentary,無料の,あいさつの. 無料の
complimented,ほめる ,ほめる 
comply,従う,(希望･要求などに)従う. 応じる
component,コンポーネント,構成している. 成文. 成分
comport,ふるまう,身を処する. ふるまう
compose,構成する,を組み立てる. (曲･文)を作る
composed,構成,落ち着いた
composer,作曲家,作曲家
composite,複合,混成の. 合成の
composition,組成,構成. 創作. 作文
compositional,組成の,組成の 
compositor,合成器,合成器. 植字工
compost,堆肥,配合土. 堆肥
composted,堆肥,堆肥 
composure,落ち着き,落ち着き. 落着き. 沈着. 平静
compound,化合物,複合の. 合成の. 化合した. 複合物. 化合物. (成分など)を混合する. (文法)重文の
compounding,調合,調合 
comprehend,理解する,を理解する. 把握する. を包含する. 含む
comprehensible,分かりやすい　,理解できる
comprehension,理解,理解. 包含
comprehensive,包括的な,理解力のある. 包括的な. 総合的な. 広範囲にわたる
comprehensively,総合的に,総合的に 
compress,圧縮する,要約する. 圧縮する. 押し込む. 押しつける. 縮む
compression,圧縮,圧縮
compressor,コンプレッサー,圧縮機
comprise,含む,包含する. 包む. 含む. 意味する. 構成する. 成り立つ
compromise,妥協,妥協(する). 譲歩(する). 和解(する). (名誉･体面)を損なう. 危うくする. 歩み寄り. 示談
comptroller,会計監査官,(会計･銀行)検査官. 監査官
compulsion,強制,無理強いされた状態. 強制
compulsive,衝動的な,強制的な
compulsory,強制的な,強制的な. 義務的な
compunction,良心の呵責,良心の呵責. 悔恨
computation,計算,計算(法). 評価
computational,計算の,計算の 
computationally,計算的に,計算的に 
compute,計算,算定する
computed,計算された ,計算された 
computer,コンピューター,コンピュータ
computerization,コンピュータ化,コンピューター化. 電算化
computerize,コンピュータ化する,コンピュータ化する
computerized,コンピュータ化された,コンピュータ化された 
computing,コンピューティング,計算. 演算
comrade,同志,同僚. 仲間
con,反対の,反対の(cf. pros). 反対論(者). 精読する. 暗記する. 詐欺の. (pros and cons. 賛否両論. 甲論乙駁)
concatenated,連結された,連結された 
concatenation,連結,連結(すること). (事件などの)結びつき. 連続. 連鎖
concave,凹面,凹(おう)面の. くぼんだ. へこませる. (cf. convex. 凸(とつ)状の)
conceal,隠す,の中に身を隠す. 隠す. を秘密にする. に潜伏する
concealment,隠蔽,隠匿. 潜伏(場所)
concede,認める,(正当だと)認める. 容認する. 与える. 譲歩する
conceit,うぬぼれ,自負心. うぬぼれ. 想像する
conceited,自惚の強い,自惚の強い
conceivable,考えられる,考えられる
conceivably,考えられる限り,考えられる限り
conceive,想像する,考える. 思い付く. 想像する. 妊娠する
concentrate,集中,集中する. 集中させる
concentrated,濃縮,濃縮された. 集中した
concentration,濃度,集中. 濃度. 2. 選鉱
concentric,同心の,同心の. 同軸の
concept,概念,概念. 構想
conception,構想,構想. 構想力. 観念. 考え. 着想. 概念. 概念作用
conceptual,概念の,概念上の
conceptualize,概念化する,概念化する. 概念的に説明する
conceptually,概念的,概念的 
conceptus,受胎産物,受胎産物 (胎児と胎盤の総称)
concern,懸念,関心を持つ. 重要である. 影響する. 関心ごと. 事件. 心配. 関連. 重要性
concerned,心配,心配そうな. 関係した
concert,コンサート,コンサート. 音楽会. 演奏会. 調和. 一致. 呼応. 囃子. 合奏. 合唱. 合意で解決する
concerted,協調した,同意された
concertina,コンサーティーナ,コンチェルティーナ. アコーディオンの一種. (アコーディオンのように)伸縮する. (蛇腹状に)ぺちゃんこになる
concerto,コンチェルト,協奏曲
concession,譲歩,利権. 特権. 許容. 免許. 特許. 譲歩
